270375,"AIC Adelaide                  ","19395   ",2020-04-28 00:00:00.000,AFC,NULL,0,2,"HR                  "
270376,"AIC Adelaide                  ","19408   ",2020-04-28 00:00:00.000,AFC,Completing work from home due to concerns with COVID19,0,2,"HR                  "
270377,"AIC Adelaide                  ","19107   ",2020-04-28 00:00:00.000,AFC,NULL,0,2,"HR                  "
270378,"AIC Adelaide                  ","19397   ",2020-04-28 00:00:00.000,AFC,NULL,0,2,"HR                  "
270548,"AIC Adelaide                  ","20516   ",2020-04-28 00:00:00.000,AFC,NULL,0,2,"HR                  "
270549,"AIC Adelaide                  ","20176   ",2020-04-28 00:00:00.000,AFC,NULL,0,2,"HR                  "
270551,"AIC Adelaide                  ","19385   ",2020-04-28 00:00:00.000,AFC,NULL,0,2,"HR                  "
270552,"AIC Adelaide                  ","20039   ",2020-04-28 00:00:00.000,AFC,NULL,0,2,"HR                  "
270553,"AIC Adelaide                  ","20763   ",2020-04-28 00:00:00.000,AFC,NULL,0,2,"HR                  "
270554,"AIC Adelaide                  ","19377   ",2020-04-28 00:00:00.000,AFC,NULL,0,2,"HR                  "
270550,"AIC Adelaide                  ","20324   ",2020-04-28 00:00:00.000,AFC,NULL,0,2,"HR                  "
270555,"AIC Adelaide                  ","19390   ",2020-04-28 00:00:00.000,AFC,NULL,0,2,"HR                  "
292913,"AIC Adelaide                  ","20176   ",2020-05-08 00:00:00.000,AFC,NULL,0,2,"HR                  "
292914,"AIC Adelaide                  ","20324   ",2020-05-08 00:00:00.000,AFC,NULL,0,2,"HR                  "
292915,"AIC Adelaide                  ","21006   ",2020-05-08 00:00:00.000,AFC,NULL,0,2,"HR                  "
292917,"AIC Adelaide                  ","20039   ",2020-05-08 00:00:00.000,AFC,NULL,0,2,"HR                  "
286722,"AIC Adelaide                  ","20516   ",2020-05-05 00:00:00.000,AFC,NULL,0,2,"HR                  "
286723,"AIC Adelaide                  ","20176   ",2020-05-05 00:00:00.000,AFC,NULL,0,2,"HR                  "
286724,"AIC Adelaide                  ","20324   ",2020-05-05 00:00:00.000,AFC,NULL,0,2,"HR                  "
286725,"AIC Adelaide                  ","21006   ",2020-05-05 00:00:00.000,AFC,NULL,0,2,"HR                  "
286726,"AIC Adelaide                  ","20039   ",2020-05-05 00:00:00.000,AFC,NULL,0,2,"HR                  "
292902,"AIC Adelaide                  ","20516   ",2020-05-08 00:00:00.000,AFC,NULL,0,2,"HR                  "
277357,"AIC Adelaide                  ","20139   ",2020-04-30 00:00:00.000,AFC,NULL,0,3,"P1                  "
277358,"AIC Adelaide                  ","19395   ",2020-04-30 00:00:00.000,AFC,NULL,0,3,"P1                  "
277360,"AIC Adelaide                  ","19107   ",2020-04-30 00:00:00.000,AFC,NULL,0,3,"P1                  "
277491,"AIC Adelaide                  ","20176   ",2020-04-30 00:00:00.000,AFC,NULL,0,3,"P1                  "
277492,"AIC Adelaide                  ","20173   ",2020-04-30 00:00:00.000,AFC,NULL,0,3,"P1                  "
277493,"AIC Adelaide                  ","20039   ",2020-04-30 00:00:00.000,AFC,NULL,0,3,"P1                  "
277494,"AIC Adelaide                  ","20210   ",2020-04-30 00:00:00.000,AFC,NULL,0,3,"P1                  "
277495,"AIC Adelaide                  ","20763   ",2020-04-30 00:00:00.000,AFC,NULL,0,3,"P1                  "
277496,"AIC Adelaide                  ","19390   ",2020-04-30 00:00:00.000,AFC,NULL,0,3,"P1                  "
277482,"AIC Adelaide                  ","20516   ",2020-04-30 00:00:00.000,AFC,NULL,0,3,"P1                  "
277483,"AIC Adelaide                  ","20324   ",2020-04-30 00:00:00.000,AFC,NULL,0,3,"P1                  "
290531,"AIC Adelaide                  ","19107   ",2020-05-07 00:00:00.000,AFC,NULL,0,3,"P1                  "
277349,"AIC Adelaide                  ","19373   ",2020-04-30 00:00:00.000,AFC,NULL,0,3,"P1                  "
283110,"AIC Adelaide                  ","20516   ",2020-05-04 00:00:00.000,AFC,NULL,0,3,"P1                  "
283114,"AIC Adelaide                  ","20176   ",2020-05-04 00:00:00.000,AFC,NULL,0,3,"P1                  "
283115,"AIC Adelaide                  ","20173   ",2020-05-04 00:00:00.000,AFC,NULL,0,3,"P1                  "
283111,"AIC Adelaide                  ","20324   ",2020-05-04 00:00:00.000,AFC,NULL,0,3,"P1                  "
283113,"AIC Adelaide                  ","21006   ",2020-05-04 00:00:00.000,AFC,NULL,0,3,"P1                  "
283116,"AIC Adelaide                  ","20039   ",2020-05-04 00:00:00.000,AFC,NULL,0,3,"P1                  "
277356,"AIC Adelaide                  ","19405   ",2020-04-30 00:00:00.000,AFC,NULL,0,3,"P1                  "
270034,"AIC Adelaide                  ","19373   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
270035,"AIC Adelaide                  ","20224   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
270036,"AIC Adelaide                  ","20208   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
270037,"AIC Adelaide                  ","19402   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
270038,"AIC Adelaide                  ","19405   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
270039,"AIC Adelaide                  ","20139   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
270040,"AIC Adelaide                  ","19395   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
270041,"AIC Adelaide                  ","19408   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
270042,"AIC Adelaide                  ","19107   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
270043,"AIC Adelaide                  ","19397   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
270044,"AIC Adelaide                  ","20712   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
277355,"AIC Adelaide                  ","19402   ",2020-04-30 00:00:00.000,AFC,NULL,0,3,"P1                  "
293134,"AIC Adelaide                  ","20516   ",2020-05-07 00:00:00.000,AFC,NULL,0,3,"P1                  "
293135,"AIC Adelaide                  ","20176   ",2020-05-07 00:00:00.000,AFC,NULL,0,3,"P1                  "
293146,"AIC Adelaide                  ","21006   ",2020-05-07 00:00:00.000,AFC,NULL,0,3,"P1                  "
293160,"AIC Adelaide                  ","20324   ",2020-05-07 00:00:00.000,AFC,NULL,0,3,"P1                  "
293161,"AIC Adelaide                  ","20039   ",2020-05-07 00:00:00.000,AFC,NULL,0,3,"P1                  "
277351,"AIC Adelaide                  ","19408   ",2020-04-30 00:00:00.000,AFC,NULL,0,3,"P1                  "
277361,"AIC Adelaide                  ","19397   ",2020-04-30 00:00:00.000,AFC,NULL,0,3,"P1                  "
270556,"AIC Adelaide                  ","20516   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
270557,"AIC Adelaide                  ","20176   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
270558,"AIC Adelaide                  ","20324   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
270559,"AIC Adelaide                  ","19385   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
270560,"AIC Adelaide                  ","20722   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
270561,"AIC Adelaide                  ","20173   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
270562,"AIC Adelaide                  ","20039   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
270563,"AIC Adelaide                  ","20210   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
270564,"AIC Adelaide                  ","20476   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
270565,"AIC Adelaide                  ","19390   ",2020-04-27 00:00:00.000,AFC,NULL,0,3,"P1                  "
277354,"AIC Adelaide                  ","20208   ",2020-04-30 00:00:00.000,AFC,NULL,0,3,"P1                  "
277359,"AIC Adelaide                  ","19414   ",2020-04-30 00:00:00.000,AFC,NULL,0,3,"P1                  "
277353,"AIC Adelaide                  ","20224   ",2020-04-30 00:00:00.000,AFC,NULL,0,3,"P1                  "
287834,"AIC Adelaide                  ","20516   ",2020-05-05 00:00:00.000,AFC,NULL,0,3,"P1                  "
287835,"AIC Adelaide                  ","20176   ",2020-05-05 00:00:00.000,AFC,NULL,0,3,"P1                  "
287836,"AIC Adelaide                  ","20324   ",2020-05-05 00:00:00.000,AFC,NULL,0,3,"P1                  "
287837,"AIC Adelaide                  ","20039   ",2020-05-05 00:00:00.000,AFC,NULL,0,3,"P1                  "
287838,"AIC Adelaide                  ","21006   ",2020-05-05 00:00:00.000,AFC,NULL,0,3,"P1                  "
280512,"AIC Adelaide                  ","20516   ",2020-05-01 00:00:00.000,AFC,NULL,0,3,"P1                  "
280514,"AIC Adelaide                  ","19390   ",2020-05-01 00:00:00.000,AFC,NULL,0,3,"P1                  "
280515,"AIC Adelaide                  ","19411   ",2020-05-01 00:00:00.000,AFC,NULL,0,3,"P1                  "
280516,"AIC Adelaide                  ","20176   ",2020-05-01 00:00:00.000,AFC,NULL,0,3,"P1                  "
